 Total number:      1000000
 Running time:    6.05000019    
         357
        1135
        1787
        2626
        3305
        3947
        4509
        5328
        5941
        6624
        7164
        7817
        8337
        8706
        9209
        9715
       10095
       10561
       10958
       11394
       11700
       11814
       12223
       12309
       12663
       12888
       13054
       13050
       13256
       13187
       13226
       13393
       13204
       13195
       13334
       13214
       13217
       13024
       12976
       13130
       12822
       12842
       12674
       12440
       12274
       12186
       11913
       11642
       11488
       11524
       11233
       10958
       10776
       10739
       10531
       10285
       10094
       10025
        9782
        9444
        9437
        9291
        9034
        8847
        8838
        8562
        8415
        7906
        8002
        7762
        7527
        7537
        7195
        6944
        7064
        6711
        6628
        6477
        6431
        6158
        6161
        5835
        5740
        5609
        5440
        5231
        5208
        5054
        4856
        4819
        4682
        4507
        4544
        4329
        4257
        4185
        4098
        4018
        3836
        3736
        3714
        3491
        3500
        3279
        3283
        3257
        3161
        3230
        3035
        2835
        2799
        2608
        2694
        2620
        2509
        2447
        2350
        2295
        2232
        2116
        2163
        2098
        2027
        1935
        1937
        1893
        1836
        1846
        1783
        1708
        1585
        1634
        1523
        1586
        1440
        1428
        1381
        1391
        1328
        1292
        1247
        1181
        1166
        1145
        1084
        1028
        1075
         994
         980
         967
         949
        1001
         894
         884
         869
         815
         813
         719
         791
         746
         721
         688
         672
         679
         651
         608
         576
         573
         536
         567
         573
         554
         489
         521
         489
         469
         421
         419
         425
         450
         392
         406
         380
         375
         357
         356
         367
         327
         344
         311
         288
         328
         295
         277
         250
         236
         260
         257
         222
         242
         239
         212
         219
         203
         207
         173
         227
         214
         160
         181
         165
         167
         156
         148
         160
         118
         166
         149
         139
         121
         110
         123
         123
         121
         110
         118
         114
         100
         109
          89
          98
          81
          91
          95
          75
          73
          77
          71
          87
          70
          70
          74
          69
          63
          68
          47
          56
          67
          47
          49
          57
          53
          50
          51
          46
          44
          47
          51
          34
          35
          37
          34
          33
          41
          41
          27
          34
          21
          26
          28
          29
          29
          24
          28
          31
          31
          30
          22
          20
          19
          21
          23
          17
          29
          19
          18
          12
          24
          10
          14
          18
          20
          11
          14
           8
          16
           9
           9
          13
           0
