 Total number:     10000000
 Running time:    12.8230000    
        3667
       10927
       18311
       25590
       32704
       39390
       46044
       53075
       59586
       66093
       71815
       77073
       83182
       88547
       93277
       97589
      102420
      106449
      110332
      113851
      116942
      119768
      122611
      124395
      126332
      127859
      129087
      130878
      131068
      131614
      132882
      133305
      132794
      133084
      132803
      131908
      131795
      130562
      130377
      128410
      128674
      126993
      125216
      124153
      122238
      120910
      119730
      117792
      116110
      114892
      112623
      110984
      109743
      107272
      105153
      103081
      102031
       99946
       97097
       96120
       93857
       92530
       90165
       88340
       86647
       84901
       83450
       80476
       79489
       77902
       75861
       74558
       72357
       71063
       69548
       67946
       65944
       64451
       63271
       61473
       60299
       59089
       57087
       56261
       55034
       53159
       52283
       50540
       49250
       47923
       47514
       46180
       44897
       43853
       42425
       41525
       39716
       39721
       38212
       37355
       36471
       35243
       34847
       33833
       32636
       32016
       31185
       30138
       29652
       28336
       28170
       27417
       26663
       25892
       25006
       24521
       23888
       23610
       22521
       22010
       21550
       20703
       20372
       19780
       19139
       18900
       18121
       17866
       17377
       16767
       16249
       16018
       15487
       15083
       14645
       14146
       13877
       13486
       13057
       12865
       12757
       12235
       11745
       11570
       11037
       10800
       10530
       10107
       10007
        9733
        9485
        9344
        9123
        8431
        8422
        8117
        7803
        7694
        7516
        7403
        7205
        7012
        6684
        6531
        6368
        5989
        6062
        5849
        5672
        5429
        5366
        5228
        5073
        4819
        4784
        4565
        4552
        4326
        4257
        4082
        4111
        3934
        3819
        3634
        3556
        3509
        3427
        3184
        3164
        3089
        2977
        3016
        2865
        2777
        2740
        2604
        2523
        2446
        2411
        2355
        2255
        2173
        2164
        2083
        2047
        1983
        1974
        1898
        1810
        1728
        1764
        1667
        1545
        1480
        1516
        1433
        1367
        1340
        1378
        1345
        1320
        1236
        1276
        1164
        1166
        1121
        1018
         997
        1023
         969
         937
         943
         904
         854
         845
         831
         745
         757
         734
         767
         775
         697
         647
         618
         651
         605
         589
         578
         543
         614
         574
         492
         482
         452
         430
         494
         470
         442
         396
         420
         393
         378
         390
         338
         367
         347
         311
         308
         316
         297
         306
         295
         251
         260
         230
         246
         255
         251
         210
         232
         226
         207
         190
         204
         212
         175
         174
         176
         171
         162
         168
         153
         177
         134
         131
         136
         124
         114
         134
         121
