 Total number:     10000000
 Running time:    64.8970032    
        3699
       11079
       18516
       25498
       32625
       39811
       46149
       52852
       59352
       65877
       71192
       77446
       83026
       88060
       92460
       97720
      101844
      106054
      109675
      113446
      116644
      119033
      121520
      124300
      126663
      128062
      130206
      130458
      131534
      132111
      132510
      132749
      133377
      132216
      133121
      132872
      132021
      131262
      130076
      129239
      127760
      127132
      125378
      124145
      122735
      121079
      119895
      117902
      115612
      114882
      112581
      110612
      108627
      107047
      105462
      102965
      101422
       99943
       97791
       95969
       94068
       92171
       91000
       88834
       86854
       84387
       83567
       80977
       79542
       77613
       76462
       74760
       72186
       70504
       69589
       67738
       66675
       64527
       63401
       61409
       60654
       59044
       57261
       56040
       54604
       53448
       51923
       50665
       49460
       48247
       47170
       45800
       45012
       43636
       42455
       41348
       40703
       39621
       38668
       37563
       36770
       35323
       34881
       33539
       32802
       32042
       31134
       30595
       29705
       28714
       27997
       27008
       26590
       26017
       25209
       24659
       23833
       23164
       22519
       21815
       21336
       20954
       20557
       19727
       19390
       18720
       18160
       18017
       17338
       16702
       16232
       15906
       15502
       15153
       14509
       14310
       13901
       13638
       12915
       12612
       12565
       11946
       11716
       11487
       10926
       10761
       10460
       10283
        9953
        9679
        9587
        9292
        8863
        8832
        8421
        8108
        8194
        7740
        7621
        7270
        7156
        6992
        6756
        6541
        6404
        6259
        5869
        5890
        5719
        5632
        5331
        5288
        5016
        4984
        4854
        4691
        4524
        4463
        4158
        4208
        3920
        3865
        3735
        3682
        3598
        3452
        3455
        3365
        3174
        3047
        3059
        2925
        2860
        2803
        2624
        2676
        2445
        2376
        2432
        2384
        2358
        2246
        2146
        2043
        2029
        1916
        1983
        1877
        1734
        1739
        1698
        1641
        1611
        1580
        1529
        1407
        1408
        1387
        1434
        1295
        1220
        1245
        1230
        1150
        1191
        1134
        1073
        1070
        1027
         924
         971
         924
         901
         887
         816
         832
         756
         791
         734
         665
         706
         707
         617
         644
         653
         595
         616
         592
         541
         582
         543
         515
         514
         534
         463
         453
         490
         439
         387
         383
         399
         424
         336
         351
         341
         335
         324
         305
         301
         288
         305
         298
         251
         265
         277
         253
         232
         235
         225
         220
         197
         228
         199
         212
         191
         203
         190
         175
         186
         151
         163
         166
         130
         134
         134
         124
         131
         129
         124
           0
