 Total number:      1000000
 Running time:    1.27600002    
         361
        1071
        1823
        2542
        3171
        3945
        4703
        5330
        6020
        6604
        7154
        7599
        8282
        8701
        9307
        9758
       10311
       10489
       11127
       11275
       11723
       12037
       12244
       12462
       12525
       12682
       12989
       12886
       13319
       13326
       13108
       13254
       13313
       13307
       13351
       13342
       13256
       13180
       13101
       12874
       13007
       12723
       12413
       12486
       12307
       11880
       12018
       11748
       11770
       11632
       11293
       11226
       10971
       10744
       10652
       10235
       10256
        9826
        9772
        9655
        9275
        9347
        8938
        8837
        8643
        8463
        8397
        8180
        7755
        7734
        7514
        7498
        7110
        7224
        6946
        6813
        6533
        6378
        6339
        6143
        6073
        6026
        5676
        5570
        5438
        5299
        5316
        4997
        4823
        4806
        4836
        4636
        4475
        4384
        4168
        4133
        3956
        4009
        3843
        3800
        3771
        3466
        3490
        3406
        3178
        3138
        3035
        3000
        2932
        2772
        2831
        2754
        2681
        2534
        2501
        2598
        2395
        2316
        2192
        2132
        2127
        2077
        1997
        1884
        1957
        1901
        1850
        1723
        1768
        1716
        1628
        1578
        1539
        1506
        1452
        1437
        1351
        1350
        1291
        1213
        1358
        1272
        1183
        1222
        1103
        1065
        1052
        1004
        1001
         978
         968
         905
         946
         839
         844
         801
         809
         803
         800
         740
         685
         701
         684
         624
         654
         579
         626
         575
         575
         490
         565
         556
         516
         474
         464
         469
         472
         467
         418
         398
         427
         396
         377
         365
         352
         357
         338
         327
         331
         270
         284
         277
         302
         253
         310
         271
         219
         230
         244
         236
         223
         238
         232
         193
         173
         201
         189
         178
         186
         179
         180
         182
         173
         137
         134
         154
         134
         147
         118
         132
         135
         123
         120
         118
         115
         106
         115
          97
         102
          98
          93
         100
          88
          97
          81
          75
          84
          82
          78
          72
          89
          75
          42
          61
          73
          63
          50
          69
          56
          63
          63
          43
          49
          50
          43
          52
          51
          44
          45
          44
          42
          35
          38
          42
          38
          23
          29
          37
          28
          18
          35
          33
          21
          32
          30
          18
          16
          21
          18
          28
          19
          20
          18
          19
          25
          13
          17
          16
          21
          19
          19
          14
          11
          16
           7
          17
          13
           9
          10
           0
